run_id,text_id,detector,detector_version,pass_number,pass_date,scanned_at,presentation_order,run_status,score_field,score,displayed_score,displayed_label,error_code,error_detail,raw_response,ground_truth,genre,stress_type,word_count,ai_word_pct,source,created,authorship_state
R001,C044,Pangram,4.0,1,2026-08-27,2026-08-27T10:06:47,1,ok,fraction_ai,0.3594,35.9% AI · Mixed,Mixed,,,"{""detector"": ""Pangram"", ""version"": ""4.0"", ""prediction_short"": ""Mixed"", ""headline"": ""AI Assisted"", ""fraction_ai"": 0.3594, ""fraction_ai_assisted"": 0.0772, ""fraction_human"": 0.5634, ""scanned_at"": ""2026-08-27T10:06:47"", ""status"": ""ok""}",Human,Marketing copy,,569,0,"Fall 2017 print catalog, Schoolhouse Electric",2017-08-22,human
R002,C032,Pangram,4.0,1,2026-08-27,2026-08-27T10:07:36,2,ok,fraction_ai,0.2319,23.2% AI · Mixed,Mixed,,,"{""detector"": ""Pangram"", ""version"": ""4.0"", ""prediction_short"": ""Mixed"", ""headline"": ""AI Assisted"", ""fraction_ai"": 0.2319, ""fraction_ai_assisted"": 0.1502, ""fraction_human"": 0.6179, ""scanned_at"": ""2026-08-27T10:07:36"", ""status"": ""ok""}",Human,News article,,569,0,"Sarah Kliff, Vox feature on emergency-room billing",2018-02-14,human
R003,C010,Pangram,4.0,1,2026-08-27,2026-08-27T10:08:19,3,ok,fraction_ai,0.6338,63.4% AI · Mixed,Mixed,,,"{""detector"": ""Pangram"", ""version"": ""4.0"", ""prediction_short"": ""Mixed"", ""headline"": ""AI Assisted"", ""fraction_ai"": 0.6338, ""fraction_ai_assisted"": 0.135, ""fraction_human"": 0.2312, ""scanned_at"": ""2026-08-27T10:08:19"", ""status"": ""ok""}",AI,Blog / opinion,,443,100,"Claude 4 Sonnet, opinion column prompt",2026-08-09,fully_AI
R004,C011,Pangram,4.0,1,2026-08-27,2026-08-27T10:08:54,4,ok,fraction_ai,0.5779,57.8% AI · Mixed,Mixed,,,"{""detector"": ""Pangram"", ""version"": ""4.0"", ""prediction_short"": ""Mixed"", ""headline"": ""AI Assisted"", ""fraction_ai"": 0.5779, ""fraction_ai_assisted"": 0.1321, ""fraction_human"": 0.29, ""scanned_at"": ""2026-08-27T10:08:54"", ""status"": ""ok""}",AI,Blog / opinion,,985,100,"Gemini 2.0 Flash, Substack-style prompt",2026-08-10,fully_AI
R005,C001,Pangram,4.0,1,2026-08-27,2026-08-27T10:10:09,5,ok,fraction_ai,0.5846,58.5% AI · Mixed,Mixed,,,"{""detector"": ""Pangram"", ""version"": ""4.0"", ""prediction_short"": ""Mixed"", ""headline"": ""AI Assisted"", ""fraction_ai"": 0.5846, ""fraction_ai_assisted"": 0.1336, ""fraction_human"": 0.2818, ""scanned_at"": ""2026-08-27T10:10:09"", ""status"": ""ok""}",AI,Academic essay,,595,100,"GPT-4o, temp 0.7, 2026-07-18 session",2026-07-18,fully_AI
R006,C069,Pangram,4.0,1,2026-08-27,2026-08-27T10:11:06,6,ok,fraction_ai,0.3141,31.4% AI · Mixed,Mixed,,,"{""detector"": ""Pangram"", ""version"": ""4.0"", ""prediction_short"": ""Mixed"", ""headline"": ""AI Assisted"", ""fraction_ai"": 0.3141, ""fraction_ai_assisted"": 0.1181, ""fraction_human"": 0.5678, ""scanned_at"": ""2026-08-27T10:11:06"", ""status"": ""ok""}",Hybrid,Technical how-to,,887,50,2012 README + Llama 3.3 70B replacements (50%),2026-08-17,hybrid
R007,C019,Pangram,4.0,1,2026-08-27,2026-08-27T10:12:07,7,ok,fraction_ai,0.8318,83.2% AI · AI,AI,,,"{""detector"": ""Pangram"", ""version"": ""4.0"", ""prediction_short"": ""AI"", ""headline"": ""AI Generated"", ""fraction_ai"": 0.8318, ""fraction_ai_assisted"": 0.1574, ""fraction_human"": 0.0108, ""scanned_at"": ""2026-08-27T10:12:07"", ""status"": ""ok""}",AI,Business / professional,,631,100,"Gemini 2.0 Flash, policy brief prompt",2026-08-21,fully_AI
R008,C028,Pangram,4.0,1,2026-08-27,2026-08-27T10:12:47,8,ok,fraction_ai,0.6658,66.6% AI · Mixed,Mixed,,,"{""detector"": ""Pangram"", ""version"": ""4.0"", ""prediction_short"": ""Mixed"", ""headline"": ""AI Assisted"", ""fraction_ai"": 0.6658, ""fraction_ai_assisted"": 0.0821, ""fraction_human"": 0.2521, ""scanned_at"": ""2026-08-27T10:12:47"", ""status"": ""ok""}",AI,Technical how-to,,629,100,"Llama 3.3 70B, configuration guide",2026-08-16,fully_AI
R009,C073,Pangram,4.0,1,2026-08-27,2026-08-27T10:13:25,9,ok,fraction_ai,0.8231,82.3% AI · AI,AI,,,"{""detector"": ""Pangram"", ""version"": ""4.0"", ""prediction_short"": ""AI"", ""headline"": ""AI Generated"", ""fraction_ai"": 0.8231, ""fraction_ai_assisted"": 0.1769, ""fraction_human"": 0.0, ""scanned_at"": ""2026-08-27T10:13:25"", ""status"": ""ok""}",Human,Academic essay,ESL,478,0,"Erasmus application statement, University of Coimbra",2019-01-22,human_stress
R010,C022,Pangram,4.0,1,2026-08-27,2026-08-27T10:14:18,10,ok,fraction_ai,0.7302,73.0% AI · Mixed,Mixed,,,"{""detector"": ""Pangram"", ""version"": ""4.0"", ""prediction_short"": ""Mixed"", ""headline"": ""AI Assisted"", ""fraction_ai"": 0.7302, ""fraction_ai_assisted"": 0.1554, ""fraction_human"": 0.1144, ""scanned_at"": ""2026-08-27T10:14:18"", ""status"": ""ok""}",AI,Marketing copy,,651,100,"Claude 4 Sonnet, product page prompt",2026-07-23,fully_AI
