run_id,text_id,detector,detector_version,pass_number,pass_date,scanned_at,presentation_order,run_status,score_field,score,displayed_score,displayed_label,error_code,error_detail,raw_response,ground_truth,genre,stress_type,word_count,ai_word_pct,source,created,ai_percent,sensitivity,result_tag
R001,C079,Copyleaks,2026.08,1,2026-08-26,2026-08-26T15:33:47,1,ok,ai_percent,57,57% AI,Suspected AI-Generated,,,"{""detector"": ""Copyleaks"", ""version"": ""2026.08"", ""ai_percent"": 57, ""sensitivity"": 2, ""result_tag"": ""suspected-ai-generated"", ""note"": ""AI percentage is the share of included text flagged as likely AI-generated."", ""scanned_at"": ""2026-08-26T15:33:47"", ""status"": ""ok""}",Human,Blog / opinion,Templated,322,0,"Grant-report narrative template, state arts board",2011-10-19,57,2,suspected-ai-generated
R002,C086,Copyleaks,2026.08,1,2026-08-26,2026-08-26T15:34:36,2,ok,ai_percent,51,51% AI,Suspected AI-Generated,,,"{""detector"": ""Copyleaks"", ""version"": ""2026.08"", ""ai_percent"": 51, ""sensitivity"": 2, ""result_tag"": ""suspected-ai-generated"", ""note"": ""AI percentage is the share of included text flagged as likely AI-generated."", ""scanned_at"": ""2026-08-26T15:34:36"", ""status"": ""ok""}",Human,Marketing copy,Short,114,0,"Craigslist missed-connections post, San Francisco",2014-05-19,51,2,suspected-ai-generated
R003,C034,Copyleaks,2026.08,1,2026-08-26,2026-08-26T15:35:41,3,ok,ai_percent,0,0% AI,Human,,,"{""detector"": ""Copyleaks"", ""version"": ""2026.08"", ""ai_percent"": 0, ""sensitivity"": 2, ""result_tag"": null, ""note"": ""AI percentage is the share of included text flagged as likely AI-generated."", ""scanned_at"": ""2026-08-26T15:35:41"", ""status"": ""ok""}",Human,News article,,557,0,"Reuters special report, California wildfire season",2018-11-27,0,2,
R004,C087,Copyleaks,2026.08,1,2026-08-26,2026-08-26T15:36:22,4,ok,ai_percent,100,100% AI,Suspected AI-Generated,,,"{""detector"": ""Copyleaks"", ""version"": ""2026.08"", ""ai_percent"": 100, ""sensitivity"": 2, ""result_tag"": ""suspected-ai-generated"", ""note"": ""AI percentage is the share of included text flagged as likely AI-generated."", ""scanned_at"": ""2026-08-26T15:36:22"", ""status"": ""ok""}",Human,Marketing copy,Short,60,0,"Product caption, Etsy listing (shop since closed)",2017-02-14,100,2,suspected-ai-generated
R005,C082,Copyleaks,2026.08,1,2026-08-26,2026-08-26T15:37:32,5,ok,ai_percent,56,56% AI,Suspected AI-Generated,,,"{""detector"": ""Copyleaks"", ""version"": ""2026.08"", ""ai_percent"": 56, ""sensitivity"": 2, ""result_tag"": ""suspected-ai-generated"", ""note"": ""AI percentage is the share of included text flagged as likely AI-generated."", ""scanned_at"": ""2026-08-26T15:37:32"", ""status"": ""ok""}",Human,Technical how-to,Technical,562,0,NIST SP 800-63-3 section 5 prose (public domain U.S. government),2017-06-22,56,2,suspected-ai-generated
R006,C052,Copyleaks,2026.08,1,2026-08-26,2026-08-26T15:39:09,6,ok,ai_percent,57,57% AI,Suspected AI-Generated,,,"{""detector"": ""Copyleaks"", ""version"": ""2026.08"", ""ai_percent"": 57, ""sensitivity"": 2, ""result_tag"": ""suspected-ai-generated"", ""note"": ""AI percentage is the share of included text flagged as likely AI-generated."", ""scanned_at"": ""2026-08-26T15:39:09"", ""status"": ""ok""}",Hybrid,Academic essay,,501,75,2016 tenure statement + Gemini 2.0 Flash replacements (75%),2026-08-14,57,2,suspected-ai-generated
R007,C031,Copyleaks,2026.08,1,2026-08-26,2026-08-26T15:39:41,7,ok,ai_percent,26,26% AI,Human,,,"{""detector"": ""Copyleaks"", ""version"": ""2026.08"", ""ai_percent"": 26, ""sensitivity"": 2, ""result_tag"": null, ""note"": ""AI percentage is the share of included text flagged as likely AI-generated."", ""scanned_at"": ""2026-08-26T15:39:41"", ""status"": ""ok""}",Human,Academic essay,,730,0,"Jane Addams, Peace and Bread in Time of War, ch. 3",1922-03-15,26,2,
R008,C027,Copyleaks,2026.08,1,2026-08-26,2026-08-26T15:40:32,8,ok,ai_percent,100,100% AI,Suspected AI-Generated,,,"{""detector"": ""Copyleaks"", ""version"": ""2026.08"", ""ai_percent"": 100, ""sensitivity"": 2, ""result_tag"": ""suspected-ai-generated"", ""note"": ""AI percentage is the share of included text flagged as likely AI-generated."", ""scanned_at"": ""2026-08-26T15:40:32"", ""status"": ""ok""}",AI,Technical how-to,,765,100,"Gemini 2.0 Flash, CLI how-to prompt",2026-08-11,100,2,suspected-ai-generated
R009,C055,Copyleaks,2026.08,1,2026-08-26,2026-08-26T15:41:46,9,ok,ai_percent,70,70% AI,Suspected AI-Generated,,,"{""detector"": ""Copyleaks"", ""version"": ""2026.08"", ""ai_percent"": 70, ""sensitivity"": 2, ""result_tag"": ""suspected-ai-generated"", ""note"": ""AI percentage is the share of included text flagged as likely AI-generated."", ""scanned_at"": ""2026-08-26T15:41:46"", ""status"": ""ok""}",Hybrid,News article,,721,75,2017 wire story + Claude 4 Sonnet replacements (75%),2026-08-17,70,2,suspected-ai-generated
R010,C039,Copyleaks,2026.08,1,2026-08-26,2026-08-26T15:43:51,10,ok,ai_percent,21,21% AI,Human,,,"{""detector"": ""Copyleaks"", ""version"": ""2026.08"", ""ai_percent"": 21, ""sensitivity"": 2, ""result_tag"": null, ""note"": ""AI percentage is the share of included text flagged as likely AI-generated."", ""scanned_at"": ""2026-08-26T15:43:51"", ""status"": ""ok""}",Human,Creative fiction,,733,0,"Ursula K. Le Guin, 'The Ones Who Walk Away from Omelas,' 1973 reprint",1973-10-01,21,2,
