run_id,text_id,detector,detector_version,pass_number,pass_date,scanned_at,presentation_order,run_status,score_field,score,displayed_score,displayed_label,error_code,error_detail,raw_response,ground_truth,genre,stress_type,word_count,ai_word_pct,source,created,authorship_state
R001,C021,GPTZero,4.9b,1,2026-08-26,2026-08-26T12:20:08,1,ok,class_probability_ai,0.8171,AI_ONLY (81.7% ai),AI_ONLY,,,"{""detector"": ""GPTZero"", ""document_classification"": ""AI_ONLY"", ""class_probabilities"": {""human"": 0.1408, ""mixed"": 0.042, ""ai"": 0.8171}, ""predicted_class"": ""ai"", ""confidence_category"": ""high"", ""scanned_at"": ""2026-08-26T12:20:08"", ""status"": ""ok""}",AI,Marketing copy,,502,100,"GPT-4o, landing-page prompt",2026-07-19,fully_AI
R002,C010,GPTZero,4.9b,1,2026-08-26,2026-08-26T12:20:58,2,ok,class_probability_ai,0.8324,AI_ONLY (83.2% ai),AI_ONLY,,,"{""detector"": ""GPTZero"", ""document_classification"": ""AI_ONLY"", ""class_probabilities"": {""human"": 0.0547, ""mixed"": 0.1129, ""ai"": 0.8324}, ""predicted_class"": ""ai"", ""confidence_category"": ""high"", ""scanned_at"": ""2026-08-26T12:20:58"", ""status"": ""ok""}",AI,Blog / opinion,,443,100,"Claude 4 Sonnet, opinion column prompt",2026-08-09,fully_AI
R003,C004,GPTZero,4.9b,1,2026-08-26,2026-08-26T12:21:33,3,ok,class_probability_ai,0.8297,AI_ONLY (83.0% ai),AI_ONLY,,,"{""detector"": ""GPTZero"", ""document_classification"": ""AI_ONLY"", ""class_probabilities"": {""human"": 0.1303, ""mixed"": 0.04, ""ai"": 0.8297}, ""predicted_class"": ""ai"", ""confidence_category"": ""high"", ""scanned_at"": ""2026-08-26T12:21:33"", ""status"": ""ok""}",AI,Academic essay,,899,100,Llama 3.3 70B via Together endpoint,2026-07-27,fully_AI
R004,C016,GPTZero,4.9b,1,2026-08-26,2026-08-26T12:23:06,4,ok,class_probability_ai,0.6165,AI_ONLY (61.7% ai),AI_ONLY,,,"{""detector"": ""GPTZero"", ""document_classification"": ""AI_ONLY"", ""class_probabilities"": {""human"": 0.0628, ""mixed"": 0.3206, ""ai"": 0.6165}, ""predicted_class"": ""ai"", ""confidence_category"": ""medium"", ""scanned_at"": ""2026-08-26T12:23:06"", ""status"": ""ok""}",AI,Creative fiction,,800,100,"Llama 3.3 70B, third-person fiction",2026-08-17,fully_AI
R005,C083,GPTZero,4.9b,1,2026-08-26,2026-08-26T12:24:54,5,ok,class_probability_ai,0.4378,AI_ONLY (43.8% ai),AI_ONLY,,,"{""detector"": ""GPTZero"", ""document_classification"": ""AI_ONLY"", ""class_probabilities"": {""human"": 0.2936, ""mixed"": 0.2686, ""ai"": 0.4378}, ""predicted_class"": ""ai"", ""confidence_category"": ""medium"", ""scanned_at"": ""2026-08-26T12:24:54"", ""status"": ""ok""}",Human,Business / professional,Grammar-heavy,701,0,"Commercial lease, Article 12 indemnity clause, Cook County filing",2015-07-30,human_stress
R006,C080,GPTZero,4.9b,1,2026-08-26,2026-08-26T12:26:28,6,ok,class_probability_ai,0.1866,HUMAN_ONLY (72.6% human),HUMAN_ONLY,,,"{""detector"": ""GPTZero"", ""document_classification"": ""HUMAN_ONLY"", ""class_probabilities"": {""human"": 0.7258, ""mixed"": 0.0876, ""ai"": 0.1866}, ""predicted_class"": ""human"", ""confidence_category"": ""high"", ""scanned_at"": ""2026-08-26T12:26:28"", ""status"": ""ok""}",Human,Technical how-to,Technical,360,0,"IEEE 802.11-2012 clause excerpt, licensed reprint",2012-03-29,human_stress
R007,C074,GPTZero,4.9b,1,2026-08-26,2026-08-26T12:28:24,7,ok,class_probability_ai,0.2585,HUMAN_ONLY (62.7% human),HUMAN_ONLY,,,"{""detector"": ""GPTZero"", ""document_classification"": ""HUMAN_ONLY"", ""class_probabilities"": {""human"": 0.6268, ""mixed"": 0.1147, ""ai"": 0.2585}, ""predicted_class"": ""human"", ""confidence_category"": ""medium"", ""scanned_at"": ""2026-08-26T12:28:24"", ""status"": ""ok""}",Human,News article,Translated,693,0,"English translation of El País report on rail strikes, translator-signed",2017-05-16,human_stress
R008,C011,GPTZero,4.9b,1,2026-08-26,2026-08-26T12:29:13,8,ok,class_probability_ai,0.8552,AI_ONLY (85.5% ai),AI_ONLY,,,"{""detector"": ""GPTZero"", ""document_classification"": ""AI_ONLY"", ""class_probabilities"": {""human"": 0.0907, ""mixed"": 0.054, ""ai"": 0.8552}, ""predicted_class"": ""ai"", ""confidence_category"": ""high"", ""scanned_at"": ""2026-08-26T12:29:13"", ""status"": ""ok""}",AI,Blog / opinion,,985,100,"Gemini 2.0 Flash, Substack-style prompt",2026-08-10,fully_AI
R009,C013,GPTZero,4.9b,1,2026-08-26,2026-08-26T12:30:04,9,ok,class_probability_ai,0.654,AI_ONLY (65.4% ai),AI_ONLY,,,"{""detector"": ""GPTZero"", ""document_classification"": ""AI_ONLY"", ""class_probabilities"": {""human"": 0.0185, ""mixed"": 0.3275, ""ai"": 0.654}, ""predicted_class"": ""ai"", ""confidence_category"": ""medium"", ""scanned_at"": ""2026-08-26T12:30:04"", ""status"": ""ok""}",AI,Creative fiction,,967,100,"GPT-4o, short-story prompt",2026-08-13,fully_AI
R010,C067,GPTZero,4.9b,1,2026-08-26,2026-08-26T12:31:41,10,ok,class_probability_ai,0.8279,AI_ONLY (82.8% ai),AI_ONLY,,,"{""detector"": ""GPTZero"", ""document_classification"": ""AI_ONLY"", ""class_probabilities"": {""human"": 0.0189, ""mixed"": 0.1532, ""ai"": 0.8279}, ""predicted_class"": ""ai"", ""confidence_category"": ""high"", ""scanned_at"": ""2026-08-26T12:31:41"", ""status"": ""ok""}",Hybrid,Marketing copy,,648,75,2019 promo email + Claude 4 Sonnet replacements (75%),2026-08-19,rewritten_AI
