run_id,text_id,detector,detector_version,pass_number,pass_date,scanned_at,presentation_order,run_status,score_field,score,displayed_score,displayed_label,error_code,error_detail,raw_response,ground_truth,genre,stress_type,word_count,ai_word_pct,source,created,document_classification,prob_human,prob_mixed,prob_ai,predicted_class,confidence_category,average_generated_prob
R001,C026,GPTZero,4.9b,1,2026-08-26,2026-08-26T12:20:38,1,ok,class_probability_ai,0.8271,AI_ONLY (82.7% ai),AI_ONLY,,,"{""detector"": ""GPTZero"", ""model"": ""4.9b"", ""document_classification"": ""AI_ONLY"", ""class_probabilities"": {""ai"": 0.8271, ""mixed"": 0.1633, ""human"": 0.0097}, ""predicted_class"": ""ai"", ""confidence_category"": ""high"", ""average_generated_prob"": 0.914, ""scanned_at"": ""2026-08-26T12:20:38"", ""status"": ""ok""}",AI,Technical how-to,,561,100,"Claude 4 Sonnet, troubleshooting prompt",2026-08-08,AI_ONLY,0.0097,0.1633,0.8271,ai,high,0.914
R002,C029,GPTZero,4.9b,1,2026-08-26,2026-08-26T12:22:33,2,ok,class_probability_ai,0.116,HUMAN_ONLY (71.6% human),HUMAN_ONLY,,,"{""detector"": ""GPTZero"", ""model"": ""4.9b"", ""document_classification"": ""HUMAN_ONLY"", ""class_probabilities"": {""ai"": 0.116, ""mixed"": 0.1681, ""human"": 0.7159}, ""predicted_class"": ""human"", ""confidence_category"": ""medium"", ""average_generated_prob"": 0.1004, ""scanned_at"": ""2026-08-26T12:22:33"", ""status"": ""ok""}",Human,Academic essay,,850,0,"William James, 'The Moral Equivalent of War,' McClure's Magazine",1910-08-01,HUMAN_ONLY,0.7159,0.1681,0.116,human,medium,0.1004
R003,C013,GPTZero,4.9b,1,2026-08-26,2026-08-26T12:23:38,3,ok,class_probability_ai,0.6085,AI_ONLY (60.9% ai),AI_ONLY,,,"{""detector"": ""GPTZero"", ""model"": ""4.9b"", ""document_classification"": ""AI_ONLY"", ""class_probabilities"": {""ai"": 0.6085, ""mixed"": 0.2615, ""human"": 0.13}, ""predicted_class"": ""ai"", ""confidence_category"": ""medium"", ""average_generated_prob"": 0.8219, ""scanned_at"": ""2026-08-26T12:23:38"", ""status"": ""ok""}",AI,Creative fiction,,967,100,"GPT-4o, short-story prompt",2026-08-13,AI_ONLY,0.13,0.2615,0.6085,ai,medium,0.8219
R004,C035,GPTZero,4.9b,1,2026-08-26,2026-08-26T12:25:41,4,ok,class_probability_ai,0.0886,HUMAN_ONLY (76.8% human),HUMAN_ONLY,,,"{""detector"": ""GPTZero"", ""model"": ""4.9b"", ""document_classification"": ""HUMAN_ONLY"", ""class_probabilities"": {""ai"": 0.0886, ""mixed"": 0.1429, ""human"": 0.7685}, ""predicted_class"": ""human"", ""confidence_category"": ""high"", ""average_generated_prob"": 0.2165, ""scanned_at"": ""2026-08-26T12:25:41"", ""status"": ""ok""}",Human,Blog / opinion,,702,0,"Paul Ford, 'What Is Code?', Bloomberg Businessweek",2015-06-11,HUMAN_ONLY,0.7685,0.1429,0.0886,human,high,0.2165
R005,C079,GPTZero,4.9b,1,2026-08-26,2026-08-26T12:26:25,5,ok,class_probability_ai,0.4183,AI_ONLY (41.8% ai),AI_ONLY,,,"{""detector"": ""GPTZero"", ""model"": ""4.9b"", ""document_classification"": ""AI_ONLY"", ""class_probabilities"": {""ai"": 0.4183, ""mixed"": 0.3597, ""human"": 0.222}, ""predicted_class"": ""ai"", ""confidence_category"": ""low"", ""average_generated_prob"": 0.5902, ""scanned_at"": ""2026-08-26T12:26:25"", ""status"": ""ok""}",Human,Blog / opinion,Templated,322,0,"Grant-report narrative template, state arts board",2011-10-19,AI_ONLY,0.222,0.3597,0.4183,ai,low,0.5902
R006,C011,GPTZero,4.9b,1,2026-08-26,2026-08-26T12:27:09,6,ok,class_probability_ai,0.8309,AI_ONLY (83.1% ai),AI_ONLY,,,"{""detector"": ""GPTZero"", ""model"": ""4.9b"", ""document_classification"": ""AI_ONLY"", ""class_probabilities"": {""ai"": 0.8309, ""mixed"": 0.1595, ""human"": 0.0096}, ""predicted_class"": ""ai"", ""confidence_category"": ""high"", ""average_generated_prob"": 0.8727, ""scanned_at"": ""2026-08-26T12:27:09"", ""status"": ""ok""}",AI,Blog / opinion,,985,100,"Gemini 2.0 Flash, Substack-style prompt",2026-08-10,AI_ONLY,0.0096,0.1595,0.8309,ai,high,0.8727
R007,C085,GPTZero,4.9b,1,2026-08-26,2026-08-26T12:29:13,7,ok,class_probability_ai,0.4484,MIXED (54.2% mixed),MIXED,,,"{""detector"": ""GPTZero"", ""model"": ""4.9b"", ""document_classification"": ""MIXED"", ""class_probabilities"": {""ai"": 0.4484, ""mixed"": 0.542, ""human"": 0.0096}, ""predicted_class"": ""mixed"", ""confidence_category"": ""medium"", ""average_generated_prob"": 0.6757, ""scanned_at"": ""2026-08-26T12:29:13"", ""status"": ""ok""}",Human,Business / professional,Grammar-heavy,551,0,"Insurance policy definitions section, ISO HO-3 2011",2011-09-01,MIXED,0.0096,0.542,0.4484,mixed,medium,0.6757
R008,C037,GPTZero,4.9b,1,2026-08-26,2026-08-26T12:31:18,8,ok,class_probability_ai,0.1299,HUMAN_ONLY (74.9% human),HUMAN_ONLY,,,"{""detector"": ""GPTZero"", ""model"": ""4.9b"", ""document_classification"": ""HUMAN_ONLY"", ""class_probabilities"": {""ai"": 0.1299, ""mixed"": 0.1208, ""human"": 0.7493}, ""predicted_class"": ""human"", ""confidence_category"": ""medium"", ""average_generated_prob"": 0.219, ""scanned_at"": ""2026-08-26T12:31:18"", ""status"": ""ok""}",Human,Blog / opinion,,609,0,"Tim Carmody, kottke.org weekday post",2019-09-18,HUMAN_ONLY,0.7493,0.1208,0.1299,human,medium,0.219
R009,C059,GPTZero,4.9b,1,2026-08-26,2026-08-26T12:31:52,9,ok,class_probability_ai,0.5643,AI_ONLY (56.4% ai),AI_ONLY,,,"{""detector"": ""GPTZero"", ""model"": ""4.9b"", ""document_classification"": ""AI_ONLY"", ""class_probabilities"": {""ai"": 0.5643, ""mixed"": 0.4257, ""human"": 0.0099}, ""predicted_class"": ""ai"", ""confidence_category"": ""medium"", ""average_generated_prob"": 0.7907, ""scanned_at"": ""2026-08-26T12:31:52"", ""status"": ""ok""}",Hybrid,Creative fiction,,628,25,2013 short-story draft + Claude 4 Sonnet replacements (25%),2026-08-21,AI_ONLY,0.0099,0.4257,0.5643,ai,medium,0.7907
R010,C027,GPTZero,4.9b,1,2026-08-26,2026-08-26T12:33:39,10,ok,class_probability_ai,0.8026,AI_ONLY (80.3% ai),AI_ONLY,,,"{""detector"": ""GPTZero"", ""model"": ""4.9b"", ""document_classification"": ""AI_ONLY"", ""class_probabilities"": {""ai"": 0.8026, ""mixed"": 0.102, ""human"": 0.0954}, ""predicted_class"": ""ai"", ""confidence_category"": ""high"", ""average_generated_prob"": 0.8143, ""scanned_at"": ""2026-08-26T12:33:39"", ""status"": ""ok""}",AI,Technical how-to,,765,100,"Gemini 2.0 Flash, CLI how-to prompt",2026-08-11,AI_ONLY,0.0954,0.102,0.8026,ai,high,0.8143
