run_id,text_id,detector,detector_version,pass_number,pass_date,scanned_at,presentation_order,run_status,score_field,score,displayed_score,displayed_label,error_code,error_detail,raw_response,ground_truth,genre,stress_type,word_count,ai_word_pct,source,created,authorship_state
R001,C036,Copyleaks,2026.08,1,2026-08-26,2026-08-26T15:34:50,1,ok,ai_percent,22,22% AI,Human,,,"{""detector"": ""Copyleaks"", ""ai_percent"": 22, ""sensitivity"": 2, ""scanned_at"": ""2026-08-26T15:34:50"", ""status"": ""ok""}",Human,Blog / opinion,,854,0,"Heather Havrilesky, Ask Polly column, The Cut",2019-03-06,human
R002,C075,Copyleaks,2026.08,1,2026-08-26,2026-08-26T15:35:52,2,ok,ai_percent,19,19% AI,Human,,,"{""detector"": ""Copyleaks"", ""ai_percent"": 19, ""sensitivity"": 2, ""scanned_at"": ""2026-08-26T15:35:52"", ""status"": ""ok""}",Human,News article,Translated,444,0,English translation of Asahi Shimbun local-government piece,2014-09-08,human_stress
R003,C068,Copyleaks,2026.08,1,2026-08-26,2026-08-26T15:36:54,3,ok,ai_percent,44,44% AI,Human,,,"{""detector"": ""Copyleaks"", ""ai_percent"": 44, ""sensitivity"": 2, ""scanned_at"": ""2026-08-26T15:36:54"", ""status"": ""ok""}",Hybrid,Technical how-to,,790,25,2015 man-page rewrite + Gemini 2.0 Flash replacements (25%),2026-08-14,AI_assisted
R004,C074,Copyleaks,2026.08,1,2026-08-26,2026-08-26T15:37:43,4,ok,ai_percent,8,8% AI,Human,,,"{""detector"": ""Copyleaks"", ""ai_percent"": 8, ""sensitivity"": 2, ""scanned_at"": ""2026-08-26T15:37:43"", ""status"": ""ok""}",Human,News article,Translated,693,0,"English translation of El País report on rail strikes, translator-signed",2017-05-16,human_stress
R005,C063,Copyleaks,2026.08,1,2026-08-26,2026-08-26T15:38:42,5,ok,ai_percent,59,59% AI,Suspected AI-Generated,,,"{""detector"": ""Copyleaks"", ""ai_percent"": 59, ""sensitivity"": 2, ""scanned_at"": ""2026-08-26T15:38:42"", ""status"": ""ok""}",Hybrid,Business / professional,,462,50,2015 offer-summary memo + Claude 4 Sonnet replacements (50%),2026-08-15,hybrid
R006,C069,Copyleaks,2026.08,1,2026-08-26,2026-08-26T15:39:42,6,ok,ai_percent,66,66% AI,Suspected AI-Generated,,,"{""detector"": ""Copyleaks"", ""ai_percent"": 66, ""sensitivity"": 2, ""scanned_at"": ""2026-08-26T15:39:42"", ""status"": ""ok""}",Hybrid,Technical how-to,,887,50,2012 README + Llama 3.3 70B replacements (50%),2026-08-17,hybrid
R007,C017,Copyleaks,2026.08,1,2026-08-26,2026-08-26T15:41:30,7,ok,ai_percent,83,83% AI,Suspected AI-Generated,,,"{""detector"": ""Copyleaks"", ""ai_percent"": 83, ""sensitivity"": 2, ""scanned_at"": ""2026-08-26T15:41:30"", ""status"": ""ok""}",AI,Business / professional,,644,100,"GPT-4o, client memo prompt",2026-08-18,fully_AI
R008,C066,Copyleaks,2026.08,1,2026-08-26,2026-08-26T15:43:00,8,ok,ai_percent,100,100% AI,Suspected AI-Generated,,,"{""detector"": ""Copyleaks"", ""ai_percent"": 100, ""sensitivity"": 2, ""scanned_at"": ""2026-08-26T15:43:00"", ""status"": ""ok""}",Hybrid,Marketing copy,,808,50,2018 homepage draft + GPT-4o replacements (50%),2026-08-16,hybrid
R009,C084,Copyleaks,2026.08,1,2026-08-26,2026-08-26T15:43:50,9,ok,ai_percent,29,29% AI,Human,,,"{""detector"": ""Copyleaks"", ""ai_percent"": 29, ""sensitivity"": 2, ""scanned_at"": ""2026-08-26T15:43:50"", ""status"": ""ok""}",Human,Business / professional,Grammar-heavy,573,0,"Appellate brief statement of facts, 7th Cir. public docket",2018-01-11,human_stress
R010,C050,Copyleaks,2026.08,1,2026-08-26,2026-08-26T15:44:41,10,ok,ai_percent,68,68% AI,Suspected AI-Generated,,,"{""detector"": ""Copyleaks"", ""ai_percent"": 68, ""sensitivity"": 2, ""scanned_at"": ""2026-08-26T15:44:41"", ""status"": ""ok""}",Hybrid,Academic essay,,901,25,1911 Britannica agriculture article + GPT-4o replacements (25% by words),2026-08-12,AI_assisted
