run_id,text_id,detector,detector_version,pass_number,pass_date,scanned_at,presentation_order,run_status,score_field,score,displayed_score,displayed_label,error_code,error_detail,raw_response,ground_truth,genre,stress_type,word_count,ai_word_pct,source,created,authorship_state
R001,C009,ZeroGPT,DeepAnalyse,1,2026-08-26,2026-08-26T18:10:49,1,ok,ai_gpt_percent,69.13,69.13% AI GPT · Your text is likely AI/GPT generated,Your text is likely AI/GPT generated,,,"{""detector"": ""ZeroGPT"", ""ai_gpt_percent"": 69.13, ""message"": ""Your text is likely AI/GPT generated"", ""scanned_at"": ""2026-08-26T18:10:49"", ""status"": ""ok""}",AI,Blog / opinion,,716,100,"GPT-4o, first-person blog prompt",2026-08-07,fully_AI
R002,C044,ZeroGPT,DeepAnalyse,1,2026-08-26,2026-08-26T18:11:25,2,ok,ai_gpt_percent,17.02,17.02% AI GPT · Your text is most likely human written but may include AI/GPT generated parts,Your text is most likely human written but may include AI/GPT generated parts,,,"{""detector"": ""ZeroGPT"", ""ai_gpt_percent"": 17.02, ""message"": ""Your text is most likely human written but may include AI/GPT generated parts"", ""scanned_at"": ""2026-08-26T18:11:25"", ""status"": ""ok""}",Human,Marketing copy,,569,0,"Fall 2017 print catalog, Schoolhouse Electric",2017-08-22,human
R003,C042,ZeroGPT,DeepAnalyse,1,2026-08-26,2026-08-26T18:12:06,3,ok,ai_gpt_percent,30.01,30.01% AI GPT · Your text is most likely human written but may include AI/GPT generated parts,Your text is most likely human written but may include AI/GPT generated parts,,,"{""detector"": ""ZeroGPT"", ""ai_gpt_percent"": 30.01, ""message"": ""Your text is most likely human written but may include AI/GPT generated parts"", ""scanned_at"": ""2026-08-26T18:12:06"", ""status"": ""ok""}",Human,Business / professional,,556,0,"All-staff note, Harborview Medical Center operations",2016-09-02,human
R004,C055,ZeroGPT,DeepAnalyse,1,2026-08-26,2026-08-26T18:13:26,4,ok,ai_gpt_percent,34.51,34.51% AI GPT · Your text is most likely human written but may include AI/GPT generated parts,Your text is most likely human written but may include AI/GPT generated parts,,,"{""detector"": ""ZeroGPT"", ""ai_gpt_percent"": 34.51, ""message"": ""Your text is most likely human written but may include AI/GPT generated parts"", ""scanned_at"": ""2026-08-26T18:13:26"", ""status"": ""ok""}",Hybrid,News article,,721,75,2017 wire story + Claude 4 Sonnet replacements (75%),2026-08-17,rewritten_AI
R005,C035,ZeroGPT,DeepAnalyse,1,2026-08-26,2026-08-26T18:14:05,5,ok,ai_gpt_percent,32.48,32.48% AI GPT · Your text is most likely human written but may include AI/GPT generated parts,Your text is most likely human written but may include AI/GPT generated parts,,,"{""detector"": ""ZeroGPT"", ""ai_gpt_percent"": 32.48, ""message"": ""Your text is most likely human written but may include AI/GPT generated parts"", ""scanned_at"": ""2026-08-26T18:14:05"", ""status"": ""ok""}",Human,Blog / opinion,,702,0,"Paul Ford, 'What Is Code?', Bloomberg Businessweek",2015-06-11,human
R006,C034,ZeroGPT,DeepAnalyse,1,2026-08-26,2026-08-26T18:15:46,6,ok,ai_gpt_percent,16.15,16.15% AI GPT · Your text is most likely human written but may include AI/GPT generated parts,Your text is most likely human written but may include AI/GPT generated parts,,,"{""detector"": ""ZeroGPT"", ""ai_gpt_percent"": 16.15, ""message"": ""Your text is most likely human written but may include AI/GPT generated parts"", ""scanned_at"": ""2026-08-26T18:15:46"", ""status"": ""ok""}",Human,News article,,557,0,"Reuters special report, California wildfire season",2018-11-27,human
R007,C059,ZeroGPT,DeepAnalyse,1,2026-08-26,2026-08-26T18:16:54,7,ok,ai_gpt_percent,26.61,26.61% AI GPT · Your text is most likely human written but may include AI/GPT generated parts,Your text is most likely human written but may include AI/GPT generated parts,,,"{""detector"": ""ZeroGPT"", ""ai_gpt_percent"": 26.61, ""message"": ""Your text is most likely human written but may include AI/GPT generated parts"", ""scanned_at"": ""2026-08-26T18:16:54"", ""status"": ""ok""}",Hybrid,Creative fiction,,628,25,2013 short-story draft + Claude 4 Sonnet replacements (25%),2026-08-21,AI_assisted
R008,C056,ZeroGPT,DeepAnalyse,1,2026-08-26,2026-08-26T18:17:50,8,ok,ai_gpt_percent,51.35,51.35% AI GPT · Your text contains mixed signals,Your text contains mixed signals,,,"{""detector"": ""ZeroGPT"", ""ai_gpt_percent"": 51.35, ""message"": ""Your text contains mixed signals"", ""scanned_at"": ""2026-08-26T18:17:50"", ""status"": ""ok""}",Hybrid,Blog / opinion,,786,25,2015 personal blog post + Gemini 2.0 Flash replacements (25%),2026-08-18,AI_assisted
R009,C026,ZeroGPT,DeepAnalyse,1,2026-08-26,2026-08-26T18:19:51,9,ok,ai_gpt_percent,61.04,61.04% AI GPT · Your text is likely AI/GPT generated,Your text is likely AI/GPT generated,,,"{""detector"": ""ZeroGPT"", ""ai_gpt_percent"": 61.04, ""message"": ""Your text is likely AI/GPT generated"", ""scanned_at"": ""2026-08-26T18:19:51"", ""status"": ""ok""}",AI,Technical how-to,,561,100,"Claude 4 Sonnet, troubleshooting prompt",2026-08-08,fully_AI
R010,C033,ZeroGPT,DeepAnalyse,1,2026-08-26,2026-08-26T18:20:33,10,ok,ai_gpt_percent,15.4,15.4% AI GPT · Your text is most likely human written but may include AI/GPT generated parts,Your text is most likely human written but may include AI/GPT generated parts,,,"{""detector"": ""ZeroGPT"", ""ai_gpt_percent"": 15.4, ""message"": ""Your text is most likely human written but may include AI/GPT generated parts"", ""scanned_at"": ""2026-08-26T18:20:33"", ""status"": ""ok""}",Human,News article,,669,0,"Andrew Higgins, New York Times foreign desk",2018-06-09,human
