run_id,text_id,detector,detector_version,pass_number,pass_date,scanned_at,presentation_order,run_status,score_field,score,displayed_score,displayed_label,error_code,error_detail,raw_response,ground_truth,genre,stress_type,word_count,ai_word_pct,source,created,fraction_ai,fraction_ai_assisted,fraction_human,prediction_short,headline
R001,C042,Pangram,4.0,1,2026-08-26,2026-08-26T11:05:59,1,ok,fraction_ai,0.0262,2.6% AI · Human,Human,,,"{""detector"": ""Pangram"", ""version"": ""4.0"", ""stage"": ""STAGE_SUCCESS"", ""headline"": ""Fully Human Written"", ""prediction"": ""We believe that this text is human-written."", ""prediction_short"": ""Human"", ""fraction_ai"": 0.0262, ""fraction_ai_assisted"": 0.0209, ""fraction_human"": 0.9529, ""scanned_at"": ""2026-08-26T11:05:59"", ""status"": ""ok""}",Human,Business / professional,,556,0,"All-staff note, Harborview Medical Center operations",2016-09-02,0.0262,0.0209,0.9529,Human,Fully Human Written
R002,C088,Pangram,4.0,1,2026-08-26,2026-08-26T11:07:02,2,ok,fraction_ai,0.3292,32.9% AI · Mixed,Mixed,,,"{""detector"": ""Pangram"", ""version"": ""4.0"", ""stage"": ""STAGE_SUCCESS"", ""headline"": ""AI Assisted"", ""prediction"": ""We believe that this text is a mix of AI-assisted and human-written content."", ""prediction_short"": ""Mixed"", ""fraction_ai"": 0.3292, ""fraction_ai_assisted"": 0.4686, ""fraction_human"": 0.2021, ""scanned_at"": ""2026-08-26T11:07:02"", ""status"": ""ok""}",Human,Marketing copy,Short,129,0,"Museum wall label, Cleveland Museum of Art collection notes",2019-08-30,0.3292,0.4686,0.2021,Mixed,AI Assisted
R003,C011,Pangram,4.0,1,2026-08-26,2026-08-26T11:09:00,3,ok,fraction_ai,0.8081,80.8% AI · AI,AI,,,"{""detector"": ""Pangram"", ""version"": ""4.0"", ""stage"": ""STAGE_SUCCESS"", ""headline"": ""AI Generated"", ""prediction"": ""We believe that this text is AI-generated."", ""prediction_short"": ""AI"", ""fraction_ai"": 0.8081, ""fraction_ai_assisted"": 0.0, ""fraction_human"": 0.1919, ""scanned_at"": ""2026-08-26T11:09:00"", ""status"": ""ok""}",AI,Blog / opinion,,985,100,"Gemini 2.0 Flash, Substack-style prompt",2026-08-10,0.8081,0.0,0.1919,AI,AI Generated
R004,C065,Pangram,4.0,1,2026-08-26,2026-08-26T11:10:48,4,ok,fraction_ai,0.5167,51.7% AI · Mixed,Mixed,,,"{""detector"": ""Pangram"", ""version"": ""4.0"", ""stage"": ""STAGE_SUCCESS"", ""headline"": ""AI Assisted"", ""prediction"": ""We believe that this text is a mix of AI-assisted and human-written content."", ""prediction_short"": ""Mixed"", ""fraction_ai"": 0.5167, ""fraction_ai_assisted"": 0.267, ""fraction_human"": 0.2163, ""scanned_at"": ""2026-08-26T11:10:48"", ""status"": ""ok""}",Hybrid,Marketing copy,,564,25,2014 product insert + Llama 3.3 70B replacements (25%),2026-08-13,0.5167,0.267,0.2163,Mixed,AI Assisted
R005,C055,Pangram,4.0,1,2026-08-26,2026-08-26T11:11:28,5,ok,fraction_ai,0.5443,54.4% AI · Mixed,Mixed,,,"{""detector"": ""Pangram"", ""version"": ""4.0"", ""stage"": ""STAGE_SUCCESS"", ""headline"": ""AI Assisted"", ""prediction"": ""We believe that this text is a mix of AI-assisted and human-written content."", ""prediction_short"": ""Mixed"", ""fraction_ai"": 0.5443, ""fraction_ai_assisted"": 0.2227, ""fraction_human"": 0.233, ""scanned_at"": ""2026-08-26T11:11:28"", ""status"": ""ok""}",Hybrid,News article,,721,75,2017 wire story + Claude 4 Sonnet replacements (75%),2026-08-17,0.5443,0.2227,0.233,Mixed,AI Assisted
R006,C058,Pangram,4.0,1,2026-08-26,2026-08-26T11:13:26,6,ok,fraction_ai,0.4474,44.7% AI · Mixed,Mixed,,,"{""detector"": ""Pangram"", ""version"": ""4.0"", ""stage"": ""STAGE_SUCCESS"", ""headline"": ""AI Assisted"", ""prediction"": ""We believe that this text is a mix of AI-assisted and human-written content."", ""prediction_short"": ""Mixed"", ""fraction_ai"": 0.4474, ""fraction_ai_assisted"": 0.3525, ""fraction_human"": 0.2002, ""scanned_at"": ""2026-08-26T11:13:26"", ""status"": ""ok""}",Hybrid,Blog / opinion,,841,75,2014 LiveJournal entry + GPT-4o replacements (75%),2026-08-20,0.4474,0.3525,0.2002,Mixed,AI Assisted
R007,C003,Pangram,4.0,1,2026-08-26,2026-08-26T11:15:22,7,ok,fraction_ai,0.9684,96.8% AI · AI,AI,,,"{""detector"": ""Pangram"", ""version"": ""4.0"", ""stage"": ""STAGE_SUCCESS"", ""headline"": ""AI Generated"", ""prediction"": ""We believe that this text is AI-generated."", ""prediction_short"": ""AI"", ""fraction_ai"": 0.9684, ""fraction_ai_assisted"": 0.0316, ""fraction_human"": 0.0, ""scanned_at"": ""2026-08-26T11:15:22"", ""status"": ""ok""}",AI,Academic essay,,583,100,"Gemini 2.0 Flash, long-form setting",2026-07-25,0.9684,0.0316,0.0,AI,AI Generated
R008,C036,Pangram,4.0,1,2026-08-26,2026-08-26T11:15:55,8,ok,fraction_ai,0.0987,9.9% AI · Mixed,Mixed,,,"{""detector"": ""Pangram"", ""version"": ""4.0"", ""stage"": ""STAGE_SUCCESS"", ""headline"": ""AI Assisted"", ""prediction"": ""We believe that this text is a mix of AI-assisted and human-written content."", ""prediction_short"": ""Mixed"", ""fraction_ai"": 0.0987, ""fraction_ai_assisted"": 0.0626, ""fraction_human"": 0.8387, ""scanned_at"": ""2026-08-26T11:15:55"", ""status"": ""ok""}",Human,Blog / opinion,,854,0,"Heather Havrilesky, Ask Polly column, The Cut",2019-03-06,0.0987,0.0626,0.8387,Mixed,AI Assisted
R009,C073,Pangram,4.0,1,2026-08-26,2026-08-26T11:16:51,9,ok,fraction_ai,0.4483,44.8% AI · Mixed,Mixed,,,"{""detector"": ""Pangram"", ""version"": ""4.0"", ""stage"": ""STAGE_SUCCESS"", ""headline"": ""AI Assisted"", ""prediction"": ""We believe that this text is a mix of AI-assisted and human-written content."", ""prediction_short"": ""Mixed"", ""fraction_ai"": 0.4483, ""fraction_ai_assisted"": 0.2105, ""fraction_human"": 0.3412, ""scanned_at"": ""2026-08-26T11:16:51"", ""status"": ""ok""}",Human,Academic essay,ESL,478,0,"Erasmus application statement, University of Coimbra",2019-01-22,0.4483,0.2105,0.3412,Mixed,AI Assisted
R010,C079,Pangram,4.0,1,2026-08-26,2026-08-26T11:17:44,10,ok,fraction_ai,0.3774,37.7% AI · Mixed,Mixed,,,"{""detector"": ""Pangram"", ""version"": ""4.0"", ""stage"": ""STAGE_SUCCESS"", ""headline"": ""AI Assisted"", ""prediction"": ""We believe that this text is a mix of AI-assisted and human-written content."", ""prediction_short"": ""Mixed"", ""fraction_ai"": 0.3774, ""fraction_ai_assisted"": 0.1923, ""fraction_human"": 0.4303, ""scanned_at"": ""2026-08-26T11:17:44"", ""status"": ""ok""}",Human,Blog / opinion,Templated,322,0,"Grant-report narrative template, state arts board",2011-10-19,0.3774,0.1923,0.4303,Mixed,AI Assisted
