run_id,text_id,detector,detector_version,pass_number,pass_date,scanned_at,presentation_order,run_status,score_field,score,displayed_score,displayed_label,error_code,error_detail,raw_response,ground_truth,genre,stress_type,word_count,ai_word_pct,source,created,ai_confidence,original_confidence,label
R001,C032,Originality.ai,Lite 3.0.0,1,2026-08-26,2026-08-26T14:04:16,1,ok,ai_confidence,14,14% AI · 86% Original · Likely Original,Likely Original,,,"{""detector"": ""Originality.ai"", ""model"": ""Lite 3.0.0"", ""ai"": 14, ""original"": 86, ""label"": ""Likely Original"", ""note"": ""Percentages are model confidence that the whole document is AI vs Original, not a word-count split."", ""scanned_at"": ""2026-08-26T14:04:16"", ""status"": ""ok""}",Human,News article,,569,0,"Sarah Kliff, Vox feature on emergency-room billing",2018-02-14,14,86,Likely Original
R002,C058,Originality.ai,Lite 3.0.0,1,2026-08-26,2026-08-26T14:06:15,2,ok,ai_confidence,72,72% AI · 28% Original · Likely AI,Likely AI,,,"{""detector"": ""Originality.ai"", ""model"": ""Lite 3.0.0"", ""ai"": 72, ""original"": 28, ""label"": ""Likely AI"", ""note"": ""Percentages are model confidence that the whole document is AI vs Original, not a word-count split."", ""scanned_at"": ""2026-08-26T14:06:15"", ""status"": ""ok""}",Hybrid,Blog / opinion,,841,75,2014 LiveJournal entry + GPT-4o replacements (75%),2026-08-20,72,28,Likely AI
R003,C020,Originality.ai,Lite 3.0.0,1,2026-08-26,2026-08-26T14:07:05,3,ok,ai_confidence,96,96% AI · 4% Original · Likely AI,Likely AI,,,"{""detector"": ""Originality.ai"", ""model"": ""Lite 3.0.0"", ""ai"": 96, ""original"": 4, ""label"": ""Likely AI"", ""note"": ""Percentages are model confidence that the whole document is AI vs Original, not a word-count split."", ""scanned_at"": ""2026-08-26T14:07:05"", ""status"": ""ok""}",AI,Business / professional,,766,100,"Llama 3.3 70B, vendor letter prompt",2026-08-22,96,4,Likely AI
R004,C076,Originality.ai,Lite 3.0.0,1,2026-08-26,2026-08-26T14:08:31,4,ok,ai_confidence,59,59% AI · 41% Original · Likely AI,Likely AI,,,"{""detector"": ""Originality.ai"", ""model"": ""Lite 3.0.0"", ""ai"": 59, ""original"": 41, ""label"": ""Likely AI"", ""note"": ""Percentages are model confidence that the whole document is AI vs Original, not a word-count split."", ""scanned_at"": ""2026-08-26T14:08:31"", ""status"": ""ok""}",Human,News article,Translated,587,0,English translation of Le Monde diplomatique short feature,2019-02-27,59,41,Likely AI
R005,C055,Originality.ai,Lite 3.0.0,1,2026-08-26,2026-08-26T14:10:26,5,ok,ai_confidence,50,50% AI · 50% Original · Likely AI,Likely AI,,,"{""detector"": ""Originality.ai"", ""model"": ""Lite 3.0.0"", ""ai"": 50, ""original"": 50, ""label"": ""Likely AI"", ""note"": ""Percentages are model confidence that the whole document is AI vs Original, not a word-count split."", ""scanned_at"": ""2026-08-26T14:10:26"", ""status"": ""ok""}",Hybrid,News article,,721,75,2017 wire story + Claude 4 Sonnet replacements (75%),2026-08-17,50,50,Likely AI
R006,C064,Originality.ai,Lite 3.0.0,1,2026-08-26,2026-08-26T14:11:57,6,ok,ai_confidence,53,53% AI · 47% Original · Likely AI,Likely AI,,,"{""detector"": ""Originality.ai"", ""model"": ""Lite 3.0.0"", ""ai"": 53, ""original"": 47, ""label"": ""Likely AI"", ""note"": ""Percentages are model confidence that the whole document is AI vs Original, not a word-count split."", ""scanned_at"": ""2026-08-26T14:11:57"", ""status"": ""ok""}",Hybrid,Business / professional,,802,75,2017 vendor RFP response + Gemini 2.0 Flash replacements (75%),2026-08-18,53,47,Likely AI
R007,C086,Originality.ai,Lite 3.0.0,1,2026-08-26,2026-08-26T14:12:44,7,ok,ai_confidence,49,49% AI · 51% Original · Likely Original,Likely Original,,,"{""detector"": ""Originality.ai"", ""model"": ""Lite 3.0.0"", ""ai"": 49, ""original"": 51, ""label"": ""Likely Original"", ""note"": ""Percentages are model confidence that the whole document is AI vs Original, not a word-count split."", ""scanned_at"": ""2026-08-26T14:12:44"", ""status"": ""ok""}",Human,Marketing copy,Short,114,0,"Craigslist missed-connections post, San Francisco",2014-05-19,49,51,Likely Original
R008,C067,Originality.ai,Lite 3.0.0,1,2026-08-26,2026-08-26T14:14:28,8,ok,ai_confidence,73,73% AI · 27% Original · Likely AI,Likely AI,,,"{""detector"": ""Originality.ai"", ""model"": ""Lite 3.0.0"", ""ai"": 73, ""original"": 27, ""label"": ""Likely AI"", ""note"": ""Percentages are model confidence that the whole document is AI vs Original, not a word-count split."", ""scanned_at"": ""2026-08-26T14:14:28"", ""status"": ""ok""}",Hybrid,Marketing copy,,648,75,2019 promo email + Claude 4 Sonnet replacements (75%),2026-08-19,73,27,Likely AI
R009,C082,Originality.ai,Lite 3.0.0,1,2026-08-26,2026-08-26T14:15:33,9,ok,ai_confidence,9,9% AI · 91% Original · Likely Original,Likely Original,,,"{""detector"": ""Originality.ai"", ""model"": ""Lite 3.0.0"", ""ai"": 9, ""original"": 91, ""label"": ""Likely Original"", ""note"": ""Percentages are model confidence that the whole document is AI vs Original, not a word-count split."", ""scanned_at"": ""2026-08-26T14:15:33"", ""status"": ""ok""}",Human,Technical how-to,Technical,562,0,NIST SP 800-63-3 section 5 prose (public domain U.S. government),2017-06-22,9,91,Likely Original
R010,C075,Originality.ai,Lite 3.0.0,1,2026-08-26,2026-08-26T14:16:58,10,ok,ai_confidence,26,26% AI · 74% Original · Likely Original,Likely Original,,,"{""detector"": ""Originality.ai"", ""model"": ""Lite 3.0.0"", ""ai"": 26, ""original"": 74, ""label"": ""Likely Original"", ""note"": ""Percentages are model confidence that the whole document is AI vs Original, not a word-count split."", ""scanned_at"": ""2026-08-26T14:16:58"", ""status"": ""ok""}",Human,News article,Translated,444,0,English translation of Asahi Shimbun local-government piece,2014-09-08,26,74,Likely Original
R011,C085,Originality.ai,Lite 3.0.0,1,2026-08-26,2026-08-26T14:17:30,11,ok,ai_confidence,41,41% AI · 59% Original · Likely Original,Likely Original,,,"{""detector"": ""Originality.ai"", ""model"": ""Lite 3.0.0"", ""ai"": 41, ""original"": 59, ""label"": ""Likely Original"", ""note"": ""Percentages are model confidence that the whole document is AI vs Original, not a word-count split."", ""scanned_at"": ""2026-08-26T14:17:30"", ""status"": ""ok""}",Human,Business / professional,Grammar-heavy,551,0,"Insurance policy definitions section, ISO HO-3 2011",2011-09-01,41,59,Likely Original
