run_id,text_id,detector,detector_version,pass_number,pass_date,scanned_at,presentation_order,run_status,score_field,score,displayed_score,displayed_label,error_code,error_detail,raw_response,ground_truth,genre,stress_type,word_count,ai_word_pct,source,created,authorship_state
R001,C030,Winston AI,v4.15,1,2026-08-26,2026-08-26T08:15:11,1,ok,human_score,84,84%,Human written,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 84, ""prediction_map_band"": ""Human written"", ""displayed_text"": ""Human Score 84%"", ""scanned_at"": ""2026-08-26T08:15:11""}",Human,Academic essay,,653,0,"John Dewey, Democracy and Education, ch. 7 (Macmillan)",1916-01-01,human
R002,C048,Winston AI,v4.15,1,2026-08-26,2026-08-26T08:16:02,2,ok,human_score,90,90%,Human written,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 90, ""prediction_map_band"": ""Human written"", ""displayed_text"": ""Human Score 90%"", ""scanned_at"": ""2026-08-26T08:16:02""}",Human,Technical how-to,,449,0,"Apple Technical Note TN2277 excerpt, developer library snapshot",2015-05-04,human
R003,C077,Winston AI,v4.15,1,2026-08-26,2026-08-26T08:17:54,3,ok,human_score,53,53%,Uncertain,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 53, ""prediction_map_band"": ""Uncertain"", ""displayed_text"": ""Human Score 53%"", ""scanned_at"": ""2026-08-26T08:17:54""}",Human,Blog / opinion,Templated,555,0,"Boilerplate 'about us' page, county parks department CMS",2013-06-21,human_stress
R004,C046,Winston AI,v4.15,1,2026-08-26,2026-08-26T08:19:02,4,ok,human_score,81,81%,Human written,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 81, ""prediction_map_band"": ""Human written"", ""displayed_text"": ""Human Score 81%"", ""scanned_at"": ""2026-08-26T08:19:02""}",Human,Marketing copy,,363,0,"Holiday insert, Powell's Books in-store flyer",2017-11-09,human
R005,C069,Winston AI,v4.15,1,2026-08-26,2026-08-26T08:20:42,5,ok,human_score,44,44%,Uncertain,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 44, ""prediction_map_band"": ""Uncertain"", ""displayed_text"": ""Human Score 44%"", ""scanned_at"": ""2026-08-26T08:20:42""}",Hybrid,Technical how-to,,887,50,2012 README + Llama 3.3 70B replacements (50%),2026-08-17,hybrid
R006,C015,Winston AI,v4.15,1,2026-08-26,2026-08-26T08:21:59,6,ok,human_score,50,50%,Uncertain,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 50, ""prediction_map_band"": ""Uncertain"", ""displayed_text"": ""Human Score 50%"", ""scanned_at"": ""2026-08-26T08:21:59""}",AI,Creative fiction,,944,100,"Gemini 2.0 Flash, scene-only prompt",2026-08-15,fully_AI
R007,C023,Winston AI,v4.15,1,2026-08-26,2026-08-26T08:22:39,7,ok,human_score,5,5%,AI generated,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 5, ""prediction_map_band"": ""AI generated"", ""displayed_text"": ""Human Score 5%"", ""scanned_at"": ""2026-08-26T08:22:39""}",AI,Marketing copy,,894,100,"Gemini 2.0 Flash, email campaign prompt",2026-07-28,fully_AI
R008,C039,Winston AI,v4.15,1,2026-08-26,2026-08-26T08:24:16,8,ok,human_score,93,93%,Human written,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 93, ""prediction_map_band"": ""Human written"", ""displayed_text"": ""Human Score 93%"", ""scanned_at"": ""2026-08-26T08:24:16""}",Human,Creative fiction,,733,0,"Ursula K. Le Guin, 'The Ones Who Walk Away from Omelas,' 1973 reprint",1973-10-01,human
R009,C021,Winston AI,v4.15,1,2026-08-26,2026-08-26T08:25:44,9,ok,human_score,14,14%,AI generated,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 14, ""prediction_map_band"": ""AI generated"", ""displayed_text"": ""Human Score 14%"", ""scanned_at"": ""2026-08-26T08:25:44""}",AI,Marketing copy,,502,100,"GPT-4o, landing-page prompt",2026-07-19,fully_AI
R010,C002,Winston AI,v4.15,1,2026-08-26,2026-08-26T08:27:17,10,ok,human_score,10,10%,AI generated,,,"{""detector"": ""Winston AI"", ""version"": ""v4.15"", ""status"": ""ok"", ""human_score"": 10, ""prediction_map_band"": ""AI generated"", ""displayed_text"": ""Human Score 10%"", ""scanned_at"": ""2026-08-26T08:27:17""}",AI,Academic essay,,834,100,"Claude 4 Sonnet, default settings",2026-07-22,fully_AI
